genres,keywords,revenue,title,vote_average,vote_count,cast,director
Adventure Action Science Fiction,civil war war marvel comic sequel superhero,1153304495,Captain America: Civil War,7.1,7241,Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie,Anthony Russo
Thriller Action Adventure Science Fiction,fight u.s. navy mind reading hong kong soccer,303025485,Battleship,5.5,2114,Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano,Peter Berg
Action Adventure Science Fiction Thriller,monster dna tyrannosaurus rex velociraptor island,1513528810,Jurassic World,6.5,8662,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,
Action Adventure Thriller,spy secret agent sociopath killer art gallery,1108561013,Skyfall,6.9,7604,Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris,Sam Mendes
Action Adventure Fantasy,dual identity love of one's life pizza boy marvel comic sequel,783766341,Spider-Man 2,6.7,4321,Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris,Sam Raimi
Action Adventure Science Fiction,terrorist war on terror tennessee malibu marvel comic,1215439994,Iron Man 3,6.8,8806,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall,Shane Black
Family Fantasy Adventure,based on novel fictional place queen fantasy alice in wonderland,1025491110,Alice in Wonderland,6.4,4645,Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover,Tim Burton
Adventure Action Science Fiction Thriller,mutant marvel comic based on comic book superhuman beast,459359555,X-Men: The Last Stand,6.3,3525,Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen,Brett Ratner
Animation Family,monster dormitory games animation best friend,743559607,Monsters University,7,3528,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston,Dan Scanlon
Science Fiction Action Adventure,egypt sun chaos symbol artifact,836297228,Transformers: Revenge of the Fallen,6,3138,Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson,Michael Bay
Science Fiction Action Adventure,sequel alien transformers giant robot robot,1091405097,Transformers: Age of Extinction,5.8,3095,Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor,Michael Bay
Fantasy Adventure Family,circus witch magic hope illusion,491868548,Oz: The Great and Powerful,5.7,3530,James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff,Sam Raimi
Action Adventure Fantasy,obsession marvel comic sequel based on comic book electrocution,705717432,The Amazing Spider-Man 2,6.5,4179,Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott,Marc Webb
Adventure Action Science Fiction,artificial intelligence secret identity computer program dystopia computer,400062763,TRON: Legacy,6.3,2841,Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta,Joseph Kosinski
Animation Family Adventure Comedy,car race sequel comedy anthropomorphism best friend,559852396,Cars 2,5.8,2033,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro,John Lasseter
Adventure Action Thriller Science Fiction,dc comics transformation superhero alien alien infection,219851172,Green Lantern,5.1,2487,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong,Martin Campbell
Animation Family Comedy,hostage college toy barbie animation,1066969703,Toy Story 3,7.6,4597,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton,Lee Unkrich
Action Science Fiction Thriller,saving the world artificial intelligence prophecy san francisco cyborg,371353001,Terminator Salvation,5.9,2463,Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard,McG
Action,car race speed revenge suspense car,1506249360,Furious 7,7.3,4176,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,James Wan
Action Drama Horror Science Fiction Thriller,dystopia apocalypse zombie nuclear weapons multiple perspectives,531865000,World War Z,6.7,5560,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,Marc Forster
Action Adventure Fantasy Science Fiction,1970s mutant time travel marvel comic based on comic book,747862775,X-Men: Days of Future Past,7.5,6032,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,Bryan Singer
Action Adventure Science Fiction,spacecraft friendship sequel futuristic space,467365246,Star Trek Into Darkness,7.4,4418,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg,J.J. Abrams
Action Family Fantasy,based on fairy tale giant,197687603,Jack the Giant Slayer,5.5,2598,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane,Bryan Singer
Drama Romance,based on novel infidelity obsession hope 3d,351040419,The Great Gatsby,7.3,3769,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki,Baz Luhrmann
Adventure Fantasy Action Romance,persia sandstorm brother against brother armageddon regent,335154643,Prince of Persia: The Sands of Time,6.2,2317,Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint,Mike Newell
Action Science Fiction Adventure,dystopia giant robot giant monster apocalypse imax,407602906,Pacific Rim,6.7,4794,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,Guillermo del Toro
Action Science Fiction Adventure,moon spacecraft traitor bodyguard alien planet,1123746996,Transformers: Dark of the Moon,6.1,3299,Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel,Michael Bay
Adventure Action,saving the world riddle whip treasure mexico city,786636033,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen,Steven Spielberg
Adventure Animation Family,tyrannosaurus rex friends alternate history dinosaur fear,331926147,The Good Dinosaur,6.6,1736,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,Peter Sohn
Animation Adventure Comedy Family Action,scotland rebel bravery kingdom archer,538983207,Brave,6.7,4641,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,Brenda Chapman
Action Adventure Science Fiction,sequel stranded hatred space opera,343471816,Star Trek Beyond,6.6,2568,Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana,Justin Lin
Animation Family,romantic comedy,521311860,WALL·E,7.8,6296,Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger,Andrew Stanton
Action Comedy Crime Thriller,ambassador,258022233,Rush Hour 3,6.1,783,Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal,Brett Ratner
Action Adventure Science Fiction,civilization natural disaster end of the world disaster apocalypse,769653595,2012,5.6,4903,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,Roland Emmerich
Animation Drama,holiday based on novel victorian england money christmas eve,325233863,A Christmas Carol,6.6,1095,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,Robert Zemeckis
Science Fiction Fantasy Action Adventure,jupiter space woman director 3d interspecies romance,183987723,Jupiter Ascending,5.2,2768,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,Lilly Wachowski
Action Adventure,africa feral child tarzan jungle animal attack,356743061,The Legend of Tarzan,5.5,2430,Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou,David Yates
Adventure Family Fantasy,saving the world witch based on novel brother sister relationship self sacrifice,748806957,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson,Andrew Adamson
Science Fiction,mutant supernatural powers marvel comic superhero based on comic book,543934787,X-Men: Apocalypse,6.4,4721,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,Bryan Singer
Drama Action Crime Thriller,dc comics crime fighter secret identity scarecrow sadism,1004558444,The Dark Knight,8.2,12002,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,Christopher Nolan
Animation Comedy Family Adventure,age difference central and south america balloon animation floating in the air,735099082,Up,7.7,6870,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo,Pete Docter
Animation Family Adventure Science Fiction,alien giant robot duringcreditsstinger,381509870,Monsters vs Aliens,6,1423,Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland,Conrad Vernon
Action Science Fiction Adventure,middle east arms dealer malibu marvel comic superhero,585174222,Iron Man,7.4,8776,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,Jon Favreau
Adventure Drama Family,library clock film director key toy,185770160,Hugo,7,2141,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone,Martin Scorsese
Action Adventure Comedy Science Fiction Western,steampunk based on tv series steam locomotive drag,222104681,Wild Wild West,5.1,1020,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,Barry Sonnenfeld
Adventure Action Fantasy,,401128639,The Mummy: Tomb of the Dragon Emperor,5.2,1387,Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford,Rob Cohen
Action Adventure Crime Fantasy Science Fiction,dc comics shared universe anti hero secret mission villain,745000000,Suicide Squad,5.9,7458,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,David Ayer
Fantasy Comedy Family,father son relationship daily life married couple support father,173000000,Evan Almighty,5.3,1151,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins,Tom Shadyac
Action Science Fiction,deja vu time warp restart dystopia war,370541256,Edge of Tomorrow,7.6,4858,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,Doug Liman
Adventure Action,ocean tattoo mutant water dystopia,264218220,Waterworld,5.9,992,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,Kevin Reynolds
Adventure Action Thriller Science Fiction,terrorist secret hostage technology warhead,302469017,G.I. Joe: The Rise of Cobra,5.6,1962,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,Stephen Sommers
Drama Comedy Animation Family,dream cartoon imaginary friend animation family,857611174,Inside Out,8,6560,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Pete Docter
Family Adventure Drama Fantasy,based on novel snake wolf elephant tiger,966550600,The Jungle Book,6.7,2892,Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson,Jon Favreau
Adventure Action Science Fiction,malibu marvel comic superhero based on comic book revenge,623933331,Iron Man 2,6.6,6849,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke,Jon Favreau
Adventure Fantasy Drama,queen magic fairy tale immortality forest,396600000,Snow White and the Huntsman,5.8,3118,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane,Rupert Sanders
Fantasy Adventure Action Family Romance,fairy tale villain sleeping beauty dark fantasy based on fairy tale,758539785,Maleficent,7,4496,Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple,Robert Stromberg
Science Fiction Action Drama Thriller,leader colony post-apocalyptic dystopia forest,710644566,Dawn of the Planet of the Apes,7.3,4410,Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell,Matt Reeves
Action Adventure Science Fiction Romance,,0,The Lovers,4.8,34,Josh Hartnett Simone Kessell Tamsin Egerton Alice Englert Bipasha Basu,Roland Joff\u00e9
Drama Action Adventure Fantasy,japan suicide samurai based on true story samurai sword,150962475,47 Ronin,5.9,1326,Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka,Carl Rinsch
Action Adventure Science Fiction,washington d.c. future shield marvel comic superhero,714766572,Captain America: The Winter Soldier,7.6,5764,Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan,Anthony Russo
Comedy Adventure Fantasy Animation Family,ogre 3d,752600867,Shrek Forever After,6,1959,Mike Myers Eddie Murphy Cameron Diaz Antonio Banderas Julie Andrews,Mike Mitchell
Adventure Family Mystery Science Fiction,inventor apocalypse destiny imax dreamer,209154322,Tomorrowland,6.2,2846,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,Brad Bird
Adventure Family Animation Action Comedy,brother brother relationship hero talent revenge best friend,652105443,Big Hero 6,7.8,6135,Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung,Chris Williams
Family Animation Comedy Adventure,support group product placement bullying racing arcade,471222889,Wreck-It Ralph,7.1,4570,John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk,Rich Moore
Adventure Animation Family Fantasy,santa claus nerd faith gift bell,305875730,The Polar Express,6.4,1474,Tom Hanks Michael Jeter Nona Gaye Peter Scolari Eddie Deezen,Robert Zemeckis
Action Adventure Science Fiction,alternate history alien invasion,389681935,Independence Day: Resurgence,4.9,2491,Liam Hemsworth Jeff Goldblum Bill Pullman Maika Monroe Sela Ward,Roland Emmerich
Fantasy Adventure Animation Family,flying blacksmith arena island night,494878759,How to Train Your Dragon,7.5,4227,Jay Baruchel Gerard Butler Craig Ferguson America Ferrera Jonah Hill,Chris Sanders
Action Thriller Science Fiction,saving the world artificial intelligence man vs machine cyborg killer robot,435000000,Terminator 3: Rise of the Machines,5.9,2143,Arnold Schwarzenegger Nick Stahl Claire Danes Kristanna Loken David Andrews,Jonathan Mostow
Action Science Fiction Adventure,marvel comic spaceship space outer space orphan,773328629,Guardians of the Galaxy,7.9,9742,Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper,James Gunn
Adventure Drama Science Fiction,saving the world artificial intelligence father son relationship single parent nasa,675120017,Interstellar,8.1,10867,Matthew McConaughey Jessica Chastain Anne Hathaway Michael Caine Casey Affleck,Christopher Nolan
Action Thriller Science Fiction Mystery Adventure,loss of lover dream kidnapping sleep subconsciousness,825532764,Inception,8.1,13752,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe,Christopher Nolan
Action Adventure Drama Horror Science Fiction,monster godzilla giant monster destruction kaiju,77000000,Shin Godzilla,6.5,143,Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara Kengo Kora Matsuo Satoru,Hideaki Anno
Adventure Fantasy Action,riddle elves dwarves orcs middle-earth (tolkien),1021103568,The Hobbit: An Unexpected Journey,7,8297,Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett,Peter Jackson
Action Crime Thriller,street gang car race undercover auto-tuning los angeles,207283925,The Fast and the Furious,6.6,3428,Paul Walker Vin Diesel Michelle Rodriguez Jordana Brewster Rick Yune,Rob Cohen
Fantasy Drama Thriller Mystery Romance,diary navy funeral tea travel,333932083,The Curious Case of Benjamin Button,7.3,3292,Cate Blanchett Brad Pitt Tilda Swinton Julia Ormond Elle Fanning,David Fincher
Action Science Fiction Adventure,cia mutant mine marvel comic superhero,353624124,X-Men: First Class,7.1,5181,James McAvoy Michael Fassbender Jennifer Lawrence Kevin Bacon Rose Byrne,Matthew Vaughn
Action Adventure Science Fiction,revolution strong woman dystopia game of death 3d,653428261,The Hunger Games: Mockingjay - Part 2,6.6,3984,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence
Fantasy Adventure Action Comedy Drama,witch fire wolf fountain magic,215283742,The Sorcerer's Apprentice,5.8,1470,Nicolas Cage Jay Baruchel Monica Bellucci Alfred Molina Teresa Palmer,Jon Turteltaub
Adventure Action Drama Thriller,new year's eve fire drowning cataclysm loss of father,181674817,Poseidon,5.5,583,Kurt Russell Richard Dreyfuss Josh Lucas Jacinda Barrett Emmy Rossum,Wolfgang Petersen
Fantasy,based on novel clock queen sequel alice in wonderland,299370084,Alice Through the Looking Glass,6.5,1725,Johnny Depp Mia Wasikowska Anne Hathaway Helena Bonham Carter Alan Rickman,James Bobin
Fantasy Adventure Animation Comedy Family,ambush sadness stage liberation of prisoners island,798958165,Shrek the Third,6,2278,Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas,Chris Miller
Action Adventure Fantasy,video game elves orcs magic chase,433677183,Warcraft,6.3,2268,Paula Patton Travis Fimmel Ben Foster Robert Kazinsky Dominic Cooper,Duncan Jones
Science Fiction Action Thriller Adventure,saving the world artificial intelligence cyborg killer robot future,440603537,Terminator Genisys,5.8,3631,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,Alan Taylor
Adventure Family Fantasy,based on novel magic good vs evil king narnia,415686217,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,Skandar Keynes Georgie Henley Simon Pegg Gary Sweet Arthur Angel,Michael Apted
History Romance War,nurse patriotism hawaii world war ii pilot,449220945,Pearl Harbor,6.6,1791,Ben Affleck Josh Hartnett Kate Beckinsale Cuba Gooding Jr. Jon Voight,Michael Bay
Adventure Science Fiction Action,destroy transformation alien based on toy transformers,709709780,Transformers,6.6,4040,Shia LaBeouf Josh Duhamel Megan Fox Rachael Taylor Tyrese Gibson,Michael Bay
War History Action Adventure Drama,aristotle egypt greece persia elephant,167298192,Alexander,5.6,927,Colin Farrell Angelina Jolie Val Kilmer Jared Leto Jonathan Rhys Meyers,Oliver Stone
Adventure Fantasy Family Mystery,prophecy witch loss of lover magic cutting the cord,938212738,Harry Potter and the Order of the Phoenix,7.4,5494,Daniel Radcliffe Rupert Grint Emma Watson Michael Gambon Ralph Fiennes,David Yates
Adventure Fantasy Family,magic dying and death broom sorcerer's apprentice school of witchcraft,895921036,Harry Potter and the Goblet of Fire,7.5,5608,Daniel Radcliffe Rupert Grint Emma Watson Ralph Fiennes Michael Gambon,Mike Newell
Fantasy Action,flying alcohol love of one's life forbidden love lovers,624029371,Hancock,6.2,2961,Will Smith Charlize Theron Jason Bateman Jae Head Eddie Marsan,Peter Berg
Drama Horror Action Thriller Science Fiction,saving the world lost civilisation post-apocalyptic dystopia matter of life and death,585349010,I Am Legend,6.9,4853,Will Smith Alice Braga Charlie Tahan Salli Richardson-Whitfield Willow Smith,Francis Lawrence
Adventure Comedy Family Fantasy,london england father son relationship chocolate factory worker based on novel,474968763,Charlie and the Chocolate Factory,6.7,3624,Johnny Depp Freddie Highmore David Kelly AnnaSophia Robb Julia Winter,Tim Burton
Animation Comedy Family Fantasy,paris brother brother relationship expensive restaurant river cook,623722818,Ratatouille,7.5,4369,Patton Oswalt Ian Holm Lou Romano Brian Dennehy Peter Sohn,Jan Pinkava
Action Crime Drama,himalaya martial arts dc comics crime fighter secret identity,374218673,Batman Begins,7.5,7359,Christian Bale Michael Caine Liam Neeson Katie Holmes Gary Oldman,Christopher Nolan
Family Animation,africa jealousy dance hunger lion,603900354,Madagascar: Escape 2 Africa,6.2,1810,Ben Stiller Jada Pinkett Smith David Schwimmer Chris Rock Cedric the Entertainer,Eric Darnell
Adventure Fantasy Action Comedy Family,museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian,413106170,Night at the Museum: Battle of the Smithsonian,5.9,1971,Ben Stiller Amy Adams Owen Wilson Hank Azaria Robin Williams,Shawn Levy
Adventure Action Thriller Science Fiction,corruption mutant boxer army marvel comic,373062864,X-Men Origins: Wolverine,6.2,4021,Hugh Jackman Liev Schreiber Danny Huston Lynn Collins Ryan Reynolds,Gavin Hood
Adventure Action Thriller Science Fiction,saving the world artificial intelligence man vs machine flying philosophy,424988211,The Matrix Revolutions,6.4,3096,Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Mary Alice,Lilly Wachowski
Animation Adventure Family,queen musical princess betrayal snowman,1274219009,Frozen,7.3,5295,Kristen Bell Idina Menzel Jonathan Groff Josh Gad Santino Fontana,Chris Buck
Adventure Action Thriller Science Fiction,saving the world artificial intelligence man vs machine martial arts kung fu,738599701,The Matrix Reloaded,6.7,3443,Keanu Reeves Carrie-Anne Moss Laurence Fishburne Hugo Weaving Helmut Bakaitis,Lilly Wachowski
Action Adventure Fantasy,marvel comic superhero based on comic book hostile takeover norse mythology,644571402,Thor: The Dark World,6.8,4755,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Christopher Eccleston,Alan Taylor
Action Adventure Science Fiction Thriller,future chase post-apocalyptic dystopia australia,378858340,Mad Max: Fury Road,7.2,9427,Tom Hardy Charlize Theron Nicholas Hoult Hugh Keays-Byrne Josh Helman,George Miller
Thriller Mystery,rome vatican based on novel symbolism christian,356613439,Angels & Demons,6.5,2129,Tom Hanks Ewan McGregor Ayelet Zurer Stellan Skarsg\u00e5rd Pierfrancesco Favino,Ron Howard
Adventure Fantasy Action,new mexico banishment shield marvel comic hammer,449326618,Thor,6.6,6525,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Stellan Skarsg\u00e5rd,Kenneth Branagh
Animation Family Adventure Comedy,hamster kids and family animal cat vs dog duringcreditsstinger,309979994,Bolt,6.3,1750,John Travolta Miley Cyrus Susie Essman Mark Walton Malcolm McDowell,Chris Williams
Fantasy Action Adventure Family Comedy,dyr duringcreditsstinger,292817841,G-Force,5.1,510,Sam Rockwell Pen\u00e9lope Cruz Tracy Morgan Jon Favreau Steve Buscemi,Hoyt Yeatman
Adventure,underworld hades mythology greek mythology zeus,301000000,Wrath of the Titans,5.5,1431,Sam Worthington Liam Neeson Ralph Fiennes Edgar Ram\u00edrez Toby Kebbell,Jonathan Liebesman
Comedy Fantasy,witch imprisonment vampire curse fish out of water,245527149,Dark Shadows,5.7,2320,Johnny Depp Michelle Pfeiffer Helena Bonham Carter Jackie Earle Haley Jonny Lee Miller,Tim Burton
Action Adventure Thriller,london england spy austria villain sequel,682330139,Mission: Impossible - Rogue Nation,7.1,3224,Tom Cruise Rebecca Ferguson Simon Pegg Jeremy Renner Ving Rhames,Christopher McQuarrie
Drama Horror Thriller,father son relationship victorian england remake rural setting werewolf,0,The Wolfman,5.5,549,Benicio del Toro Anthony Hopkins Emily Blunt Hugo Weaving Cristina Contes,Joe Johnston
Family Animation Adventure Comedy,factory worker tennis flower florist flower shop,287594577,Bee Movie,5.7,1171,Jerry Seinfeld Ren\u00e9e Zellweger Jim Cummings Matthew Broderick Patrick Warburton,Steve Hickner
Animation Family,martial arts hope fleet panda mission,665692281,Kung Fu Panda 2,6.7,1880,Jack Black Angelina Jolie Dustin Hoffman Gary Oldman Jackie Chan,Jennifer Yuh Nelson
Action Adventure Family Fantasy,fire ice war ship prince kingdom,318502923,The Last Airbender,4.7,1151,Noah Ringer Nicola Peltz Jackson Rathbone Dev Patel Shaun Toub,M. Night Shyamalan
